nr,bpm,spec flat,spec skew,kurt,zero cross,hpss,vocal,bin1,bin2,bin3,bin4,bin5,bin6,bin1 mean freq,bin1 std,bin1 q25,bin1 q75,bin2 mean freq,bin2 std,bin2 q25,bin2 q75,bin3 mean freq,bin3 std,bin3 q25,bin3 q75,bin4 mean freq,bin4 std,bin4 q25,bin4 q75,bin5 mean freq,bin5 std,bin5 q25,bin5 q75,bin6 mean freq,bin6 std,bin6 q25,bin6 q75
20,129,232,2,1.8367108853534866,43034,0,0,393157,121,23,10,9,1,0.0,0.0,0.0,0.0,2.251428e-06,1.6178534e-05,1.489743398086496e-10,8.219904934492206e-08,0.0007207726,0.00014681547,0.0006046665366739035,0.0008061788976192474,0.0012388303,0.0001272116,0.001130804477725178,0.0013134729233570397,0.0019211887,0.00014454043,0.0018428362673148513,0.0020393815939314663,0.0024127478,0.00012459181,0.0023311376571655273,0.002484334399923682
21,103,75,2,1.6791363040688934,53409,1,1,392956,291,45,11,10,8,0,0,0,0,2.5905038e-06,1.7047021e-05,1.2313070285596694e-09,9.31476922261254e-08,0.00053684774,0.00010099381,0.0004518141795415431,0.0006089854286983609,0.0009451675,0.00010977962,0.0008431654423475266,0.0010419301688671112,0.0013516353,0.00010750383,0.0012689734576269984,0.0014412117307074368,0.0017837121,7.216288e-05,0.0017566695751156658,0.0018488411733414978
22,129,177,2,2.8839076005124786,61673,1,0,392666,498,109,27,14,7,0.0,0.0,0.0,0.0,1.047846e-06,6.401741e-06,2.713186619818231e-10,7.171159666086169e-08,0.00018490692,3.7686423e-05,0.00015149551109061576,0.00021632114658132195,0.00030728208,3.4114742e-05,0.00027968783979304135,0.000333127798512578,0.00045240365,3.761046e-05,0.0004129081789869815,0.0004852561542065814,0.0005755277,4.1538715e-05,0.000537123138201423,0.0006095722783356905
23,161,71,2,0.9355016339378057,86531,1,1,392080,1065,136,32,5,3,0.0,0.0,0.0,0.0,1.4085073e-06,6.024407e-06,6.891499315653249e-10,1.1754720219414594e-07,9.8156204e-05,1.9637346e-05,8.173424430424348e-05,0.00011082196579081938,0.00017581161,2.0954682e-05,0.0001578470692038536,0.000195001299289288,0.00024685904,1.6026219e-05,0.000232726084504975,0.0002584132380434312,0.00032937588,2.0296357e-05,0.00030889781191945076,0.00034603767562657595
24,123,1,2,1.278208475292713,58275,1,1,392767,421,102,26,4,1,0.0,0.0,0.0,0.0,1.8651349e-06,1.3832114e-05,1.9790059521684888e-10,3.5242839757643196e-08,0.00048248106,9.820403e-05,0.0003990762052126229,0.0005658123409375548,0.00082630577,9.887319e-05,0.0007426765660056844,0.0008773108711466193,0.0011512144,8.7474655e-05,0.0010954618046525866,0.0012085435155313462,0.0015343344,0.000120726974,0.0014734899159520864,0.0015542583132628351
25,161,338,2,3.252556949166409,98948,1,0,393251,41,14,9,5,1,0.0,0.0,0.0,0.0,1.260321e-06,6.2537806e-06,9.239575216035689e-10,2.886682466396451e-07,0.00032062051,6.51782e-05,0.00026352624990977347,0.00035496498458087444,0.00057782733,6.423603e-05,0.0005339003691915423,0.0006324502755887806,0.000852114,7.298243e-05,0.0008108970941975713,0.0009103409247472882,0.0010623267,4.223551e-05,0.0010413358686491847,0.0010872235288843513
26,103,45,2,1.2340113354472333,80118,1,1,392898,289,93,22,16,3,0,0,0,0,1.3584538e-06,5.5202477e-06,3.645144741604156e-10,3.0167561249072605e-07,0.00014260293,2.9109691e-05,0.00011748530232580379,0.00016112191951833665,0.00025078483,2.8151497e-05,0.0002253795973956585,0.00027036143001168966,0.0003595324,2.8219534e-05,0.00033072020596591756,0.00038691033114446327,0.00047518278,2.9451225e-05,0.0004544746989267878,0.0004971478774677962
27,143,1096,2,-0.9963403288911503,101045,1,0,392283,589,268,107,59,15,0,0,0,0,1.9026951e-06,8.4084895e-06,5.0081467861673445e-08,1.019046010242164e-06,0.00026140054,5.288886e-05,0.00021383649436756968,0.0003056070418097079,0.0004520994,5.365817e-05,0.00040629261638969183,0.0004982912651030347,0.0006282292,4.9796483e-05,0.000586953159654513,0.0006695172050967813,0.0008000014,4.9753075e-05,0.0007567678112536669,0.000822757399873808
28,112,1,2,0.4505958367483345,48890,1,0,393169,115,21,9,4,3,0.0,0.0,0.0,0.0,4.185742e-06,2.2745939e-05,8.658445904696777e-10,3.1008283940536785e-07,0.00078296225,0.0001549088,0.0006603078218176961,0.0008582125010434538,0.0015133598,0.00016857522,0.0014131549978628755,0.001661110669374466,0.0020189383,0.00015085498,0.0019050301052629948,0.0021005007438361645,0.0027075578,0.00016858029,0.0026553868083283305,0.002830301644280553
29,151,0,2,0.8097725708508623,35230,1,0,392588,562,112,34,23,2,0.0,0.0,0.0,0.0,3.4478564e-06,2.449486e-05,3.4358597911232636e-10,8.547941376946255e-08,0.00065757486,0.00012754908,0.0005450250173453242,0.0007367152866208926,0.0011976527,0.00014211476,0.0010775605915114284,0.00130880469805561,0.0016622095,0.0001060813,0.0015883725136518478,0.0017238245927728713,0.0021461942,0.0001651131,0.00199533486738801,0.002283223671838641
